,favorites,created_at,retweets,text
4626,22,2015-12-31 22:10:00,24,"2015 breakthrough sports, health, & customer success"
4627,11,2015-12-31 22:10:00,13,46% freelancers family member look after. How flexible you? #FutureofWork
4628,0,2015-12-31 22:10:00,0,NaseerPrince For available job visit online job centre Best luck!
4629,6,2015-12-31 22:10:00,6,There's seat Boardroom. What matters CDO? In #Digitalist
4630,6,2015-12-31 19:23:20,12,Redefining org Digital Economy? Filter digital noise. Digitalist
4631,20,2015-12-31 02:43:20,29,6 Apps That Will Make You Feel Like You Live Future:
4632,13,2015-12-30 23:56:40,21,Here list 4 specific things improve productivity workplace:
4633,28,2015-12-30 23:56:40,25,6 Steps Improving Your Analysis Skills:
4634,7,2015-12-29 22:56:40,14,Where's hotbed digital innovation Latin America? #Digitalist
4635,0,2015-12-29 22:56:40,5,"look ""Scores Sports Highlights"" 2015 - What exciting year!"
4636,18,2015-12-29 22:56:40,23,Moving #cloud going essential order grow business. -
4637,16,2015-12-29 20:10:00,15,68% co's say flexible leads greater revenue. That's ROI. More #Digitalist
4638,45,2015-12-26 00:30:00,51,Cheers real conversations & authentic moments loved ones. Happy Holidays! -SAP Social Media
4639,13,2015-12-25 02:16:40,16,Travel Tips From On-The-Go Executives: What 240 Hours In The Sky Will Teach You About Travel
4640,5,2015-12-25 02:16:40,7,Fun tips Holiday Travel Survival Guide stay stress-free! [INFOGRAPHIC]
4641,12,2015-12-24 23:30:00,7,5 milestones digital transformation journey getting started #S4HANA
4642,4,2015-12-24 20:43:20,16,What's role Chief Digital Officer? recent CDO Tweetchat #Digitalist
4643,24,2015-12-24 17:56:40,45,India track becoming world’s third biggest economy
4644,10,2015-12-24 04:03:20,18,.@aatzberger's 5 predictions changes optimistic 2016:
4645,6,2015-12-24 01:16:40,16,Virtual Reality Might Go Mainstream In 2016:
4646,7,2015-12-24 01:16:40,17,4 issues Santa needs & Digital Economy give Santa tools needs:
4647,6,2015-12-23 22:30:00,4,A Transformation Lesson From The Grinch:
4648,1,2015-12-23 22:30:00,2,The pulse Brazilian digital innovation. #Digitalist Magazine
