user_id,created_at,user_name,text,user_screen_name,tweet_id,favorites,retweets
4864659553,1.51023E+12,abhinav banerjee,https://www.forbes.com/sites/bobevans1/2017/11/07/the-top-5-cloud-computing-vendors-1-microsoft-2-amazon-3-ibm-4-salesforce-5-sap/#580d0ce76f2e … #sap #cloud #scp  top 5 Forbes cloud vendors,4864659553,9.28595E+17,0,1
443877093,1.51023E+12,MBA Jobs Healthcare,"SAP #program #manager / #service Support Partner (Financial #services #industry): #SAP, Aust... http://www.MBA-Exchange.com/mba-job/SAP-SAP-Program-Manager---Service-Support-Partner-(Financial-Services-Industry)-in_49a89e401fce73eb … #MBA #jobs #Healthcare",443877093,9.28595E+17,0,0
2818693300,1.51023E+12,Julie,#SAP: #Business Development Associate (Fluent Spanish + #English) Job (#BarcelonaBES) #job #JobsatSAPhttps://workfor.us/lifeatsap/243h1 ,2818693300,9.28595E+17,0,0
76962327,1.51023E+12,Werner Schady,"Application Consultant SAP - SRM, PM, HR, FI/CO/Treasury oder EH&S (m/w) #SAP #Berater #Abap #SRMhttp://r.ebnd.de/r/q4-Mdh ",76962327,9.28594E+17,0,0
883508881,1.51023E+12,Jorge Weiss,How SAP is making the shift to industrial IoT https://goo.gl/VinZhf  #SAP @RueckertTanja @SAPLeonardo #IoT,883508881,9.28593E+17,0,0
125584529,1.51023E+12,Balfie,Pure's CAT for #SAP enables significant reductions in @SAP database copy time & drives lightning-fast SID change https://yhoo.it/2hnquyj pic.twitter.com/VgdM2PiNMZ,125584529,9.28593E+17,0,0
389970729,1.51023E+12,HO2 Systemberatung,"#SAP User Experience #UX Designer (m/w) gesucht!
Mehr Infos & Bewerben unter:
http://smrtr.io/FWWLGw 
#ITJobs #SAPJobs #Karriere #Ho2pic.twitter.com/atmvr3uwNw",389970729,9.28593E+17,0,0
204298080,1.51023E+12,Dirk Sonntag,Hohe Investitionen in #Cloud und #SAP #S4HANA @Netzwoche zu den vorläufigen Jahreszahlen 2016/17 von @AllforOneSteebhttps://twitter.com/Netzwoche/status/928216179436437504 …,204298080,9.28593E+17,0,0
12882122,1.51023E+12,Joachim Rosskopf,"And if you want to offload your #SAP #data workloads to the cloud and integrate it into #BigData there is also an easy, cheap and performant solution: @sparrow_bipic.twitter.com/KYU4kHsQ5u",12882122,9.28593E+17,0,0
407754335,1.51023E+12,MartaK,Aquesta setmana curs de #CM a @Adamsformacion i la setmana que ve començo curs de #SAP a @barcelonactiva !!!  I també taller de pintura a l' #escoladeladona @diba !!!pic.twitter.com/edLN0MfcXz,407754335,9.28592E+17,1,0
9.15605E+17,1.51023E+12,Carina Legl,Will AI And Machine Learning Spell The End Of #Retail As We Know It? #SAP http://www.digitalistmag.com/customer-experience/2017/10/31/digitalist-flash-briefing-ai-machine-learning-spell-end-of-retail-as-we-know-it-05475270 … via @digitalistmag @SAPRadio #CX,9.15605E+17,9.28591E+17,0,0
122083599,1.51023E+12,Steve Will,It is always a great learning experience when #IBMi #SAP people gather. https://twitter.com/saponibmi/status/927883575218917381 …,122083599,9.28591E+17,0,0
8.057E+17,1.51023E+12,SWAN it,PepsiCo Selects GENYOUth as Beneficiary of SAP’s Klaus Tschira Human Resources Innovation Award Prize http://ow.ly/MutS30gsB4P  #SAP #GENYOUthpic.twitter.com/n9572eNnAS,8.057E+17,9.28591E+17,0,0
196583658,1.51023E+12,Basis Technologies,Leading manufacturer of construction materials delivers weekly #SAP updates without risk of disruption. http://bit.ly/2pxBg4e pic.twitter.com/HiJSLVmZTF,196583658,9.28589E+17,0,0
276464789,1.51023E+12,Tania Al Semaani,#SAP: SAP Academy for #Sales: Account #Executive (Associa... in #MuscatDUAE #job https://workfor.us/lifeatsap/949i1r … #JobsatSAPpic.twitter.com/B5dThVrxVo,276464789,9.28589E+17,0,0
235172341,1.51023E+12,SAP Re-Engineering,#SAP <b>SAP</b> Support Manager: Edward Carter Solutions is currently seeking an… https://goo.gl/fb/HvpcTT ,235172341,9.28589E+17,0,0
474719536,1.51023E+12,Neptune Software AS,@NeptSoft @itelligence poland show how to build #offline #SAPFiori apps in 27 min. Great meeting these #SAP and #ABAP developerspic.twitter.com/mb3XkrFIid,474719536,9.28588E+17,1,0
